route,model,target_variant,macro_mean_mae,macro_median_mae,macro_mean_rmse,macro_median_rmse,macro_mean_r2,macro_median_r2,macro_mean_median_ae,macro_median_median_ae,worst_site_mae,worst_site_rmse,worst_site_r2,n_folds,ci95_low_mae,ci95_high_mae
CORE_CC,tabpfn_v2,log1p,1.8042702611975825,1.4245080692174823,4.0948924881596405,2.682162255093223,0.5682599353257108,0.5824134369675049,0.6851778951266367,0.6241025473853334,3.4192272583420253,9.61401425324643,0.3516309676645264,6,1.0785750056553083,2.625960491042377
CORE_CC,tabicl,log1p,1.8094249375837317,1.4284264184078075,4.131358541608103,2.6911111323458243,0.5663865905527904,0.5721588998477547,0.6781503289891379,0.5894005407504385,3.4348135582989956,9.752162983794635,0.33286359226882456,6,1.082955635450164,2.6413479691134043
CORE_CC,tabdpt,log1p,1.8117734987972411,1.4362270742626972,4.165672834648841,2.768707354036854,0.5461592368982876,0.5656862249026278,0.6862313374538921,0.5908357312505074,3.3933786478334445,9.557793084652838,0.35919190545626056,6,1.1002536016758695,2.6227167106482505
EXTENDED_FOLD_IMPUTED,catboost,log1p,1.8504001380111712,1.4241330617370809,4.175785874371194,2.664787523139821,0.5562291990991304,0.5676329124271853,0.7136482593036835,0.614064495028775,3.5154537540693473,9.670558981095049,0.34398178748604946,6,1.0781126015966995,2.701434196486946
CORE_CC,catboost,log1p,1.8548731888498213,1.449120032135762,4.179831134929136,2.7121958442327876,0.557721282889736,0.560722022069017,0.7022390138542959,0.6310296280683225,3.514816733382473,9.708995996597768,0.33875654801028543,6,1.089436692775869,2.703200591931312
CORE_CC,extra_trees,log1p,1.8697315692237628,1.4778306155180978,4.1899265759553534,2.7919585407744307,0.5500777292113718,0.5422393025510642,0.7060672198649615,0.6207904569300606,3.620069008188386,9.749453361347348,0.33323426627360786,6,1.1042055907893313,2.7501339595891747
CORE_CC,tabpfn_v2,raw,1.890317495487824,1.5130155397931435,4.157248657359752,2.9005753277843915,0.5267534902790144,0.518479611277636,0.778736205578804,0.6655235671119689,3.523882330220447,9.392598139887818,0.3811516697226841,6,1.1737375342709508,2.7217273661432393
EXTENDED_FOLD_IMPUTED,extra_trees,log1p,1.8930891939060996,1.471734112131823,4.2516823746184365,2.8985833101896192,0.5310257382327688,0.5062430700391363,0.7257534936844366,0.6117876025255301,3.5631527553895825,9.581561021912007,0.3560008708770247,6,1.1017967829597601,2.757017667570281
CORE_CC,xgboost,log1p,1.9079857820549624,1.497936187686802,4.3009778116385835,2.832140173413346,0.5303238475596778,0.5240929658579492,0.7398880228429717,0.6289377778345041,3.610300253785683,9.818081555299297,0.3238142548852916,6,1.1221151844113952,2.7800774080930655
EXTENDED_FOLD_IMPUTED,xgboost,log1p,1.9106611023199636,1.477554019768432,4.283473675586969,2.811109314773454,0.532934672777473,0.5294686108721943,0.7474700927764247,0.6335475192362651,3.688813176278895,9.780363127232839,0.328999722578868,6,1.1055947022167738,2.8155707092490854
CORE_CC,random_forest,log1p,1.923136276274693,1.5242776269399456,4.315229239119696,2.857073602712006,0.5308736269082716,0.525479940760499,0.7291434864909451,0.6282171622568774,3.6618067255899254,9.974470617672067,0.3021012007741647,6,1.1263955388136475,2.81450125134996
